Project,Scenario,Dollar_year,Weather_year,Start_day,gea,country,tz,t
Cambium24,HighRECost_LowNGPrice,2023$,2012,Sunday,PJM_West,usa,CT,2045
Metric definitions and scenario descriptions: 2024 Cambium Documentation (https://www.nrel.gov/docs/fy25osti/93005.pdf)
Time,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Curtailment,Curtailment,Curtailment,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation
Datetime,Datetime,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh
timestamp,timestamp_local,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,curt_wind_MWh,curt_solar_MWh,curtailment_MWh,generation,variable_generation,battery_MWh,biomass_MWh,canada_MWh,coal_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh
2045-01-01 01:00:00,2045-01-01 00:00:00,14792.6,0.0,0.0,132.4,14925.0,14314.7,10130.9,8155.6,10295.3,0.0323,0.0428,0.0,0.0,0.0,5.6,13.1,0.12,0.0,6.0,6.0,1.8,0.0,0.0,4.2,22.6,0.09,1.8,4.9,6.7,76.0,1.5,0.15,9.0,566.6,0.04,76.1,25.9,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79,0.0,0.0,6.79,7.09,0.0,0.0,7.09,0.0,0.0,0.0,17064.7,4794.2,1566.7,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,4794.2,0.0
2045-01-01 02:00:00,2045-01-01 01:00:00,13996.8,0.0,0.0,125.6,14122.4,13552.1,9444.0,8039.7,9524.4,0.0318,0.0405,0.0,0.0,0.0,6.1,14.4,0.14,0.0,6.6,6.6,0.3,0.0,0.0,4.0,11.4,0.09,0.3,4.4,4.6,59.5,1.1,0.12,7.0,444.0,0.03,59.6,20.3,79.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79,0.0,0.0,6.79,7.08,0.0,0.0,7.08,0.0,0.0,0.0,15607.1,4678.4,224.9,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,4678.4,0.0
2045-01-01 03:00:00,2045-01-01 02:00:00,13424.2,0.0,0.0,116.9,13541.1,13002.2,8817.8,7170.0,9152.8,0.0314,0.0389,0.0,0.0,0.0,6.1,14.5,0.14,0.0,6.6,6.6,0.1,0.0,0.0,4.1,10.6,0.09,0.1,4.4,4.6,36.7,0.7,0.07,4.3,273.7,0.02,36.8,12.5,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.79,0.0,0.0,6.79,7.06,0.0,0.0,7.06,0.0,0.0,0.0,15524.0,4723.3,96.8,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,4723.3,0.0
2045-01-01 04:00:00,2045-01-01 03:00:00,13094.7,0.0,0.0,118.7,13213.4,12685.4,8461.6,7213.7,9456.0,0.0313,0.0379,0.0,0.0,0.0,6.1,14.5,0.14,0.0,6.6,6.6,0.0,0.0,0.0,4.1,9.6,0.09,0.0,4.4,4.4,21.3,0.4,0.04,2.5,159.6,0.01,21.4,7.3,28.6,329.1,6.2,0.62,38.9,2483.4,0.14,329.4,112.9,442.4,6.62,0.0,0.0,6.62,6.88,0.0,0.0,6.88,0.0,0.0,0.0,15455.7,4751.9,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,4751.9,0.0
2045-01-01 05:00:00,2045-01-01 04:00:00,12930.5,0.0,0.0,118.4,13048.9,12527.3,8226.9,7084.6,9561.6,0.0312,0.0374,0.0,0.0,0.0,6.1,14.4,0.14,0.0,6.6,6.6,0.0,0.0,0.0,4.1,9.6,0.09,0.0,4.4,4.4,8.0,0.2,0.02,0.9,60.1,0.0,8.0,2.7,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,5.8,6.02,0.0,0.0,6.02,0.0,0.0,0.0,15525.9,4822.1,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,4822.1,0.0
2045-01-01 06:00:00,2045-01-01 05:00:00,13160.0,2.6,0.0,114.7,13277.3,12748.1,8436.6,7102.8,9370.1,0.0313,0.0381,0.0,0.0,0.0,6.1,14.4,0.14,0.0,6.6,6.6,0.0,0.0,0.0,4.0,9.5,0.09,0.0,4.3,4.3,3.8,0.1,0.01,0.5,28.9,0.0,3.8,1.3,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.78,0.0,0.0,5.78,6.01,0.0,0.0,6.01,0.0,0.0,0.0,15544.5,4840.7,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,4840.7,0.0
2045-01-01 07:00:00,2045-01-01 06:00:00,13573.7,0.0,0.0,125.6,13699.3,13145.8,8878.5,7859.1,9684.4,0.0315,0.0393,0.0,0.0,0.0,6.1,14.5,0.14,0.0,6.6,6.6,0.0,0.0,0.0,3.9,9.4,0.09,0.0,4.2,4.3,33.9,0.7,0.07,4.0,253.0,0.02,34.0,11.6,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82,0.0,0.0,5.82,6.05,0.0,0.0,6.05,0.0,0.0,0.0,15524.6,4820.8,0.0,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,0.0,4820.8,0.0
2045-01-01 08:00:00,2045-01-01 07:00:00,14206.3,0.0,0.0,97.6,14303.9,13753.0,9372.4,6154.6,7486.0,0.0319,0.0411,0.0,0.0,0.0,6.1,14.3,0.14,0.0,6.5,6.5,0.0,0.0,0.0,4.2,9.8,0.09,0.0,4.5,4.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79,0.0,0.0,5.79,6.03,0.0,0.0,6.03,0.0,0.0,0.0,15635.3,4931.5,0.0,44.3,0.0,0.0,0.0,1.2,0.0,0.0,0.0,17.7,10641.8,0.0,0.0,147.8,4782.5,0.0
